accident_severity,vehicle_reference,vehicle_type,towing_and_articulation,vehicle_manoeuvre,vehicle_location-restricted_lane,junction_location,skidding_and_overturning,hit_object_in_carriageway,vehicle_leaving_carriageway,hit_object_off_carriageway,1st_point_of_impact,was_vehicle_left_hand_drive?,journey_purpose_of_driver,sex_of_driver,age_of_driver,age_band_of_driver,engine_capacity_(cc),propulsion_code,age_of_vehicle,driver_home_area_type,NUmber_of_Casualities_unique_to_accident_index,No_of_Vehicles_involved_unique_to_accident_index,location_easting_osgr,location_northing_osgr,police_force,number_of_vehicles,number_of_casualties,day_of_week,local_authority_(district),1st_road_class,1st_road_number,road_type,speed_limit,junction_detail,junction_control,2nd_road_class,2nd_road_number,pedestrian_crossing-human_control,pedestrian_crossing-physical_facilities,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,carriageway_hazards,urban_or_rural_area,did_police_officer_attend_scene_of_accident,casualty_reference,casualty_class,sex_of_casualty,age_of_casualty,age_band_of_casualty,casualty_severity,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,pedestrian_road_maintenance_worker,casualty_type,casualty_home_area_type,casualty_imd_decile
3,2,9,0,18,0,0,0,0,0,0,1,1,6,2,50,8,1598,1,8,1,2,2,479712,262617,34,2,2,4,384,6,8026,6,30,0,4,6,0,0,0,1,1,1,0,0,1,1,1,2,2,24,5,3,0,0,1,0,0,9,1,5
3,2,9,0,18,0,8,0,0,0,0,3,1,6,2,58,9,1360,1,11,1,1,2,464886,106040,44,2,1,4,498,6,0,6,20,6,4,6,0,0,0,1,1,1,0,0,1,1,1,1,1,33,6,3,0,0,0,0,0,9,1,5
3,2,9,0,18,0,8,0,0,0,0,1,1,6,3,38,7,1598,1,8,1,1,2,527980,183820,1,2,1,5,2,5,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,1,1,1,33,6,3,0,0,0,0,0,9,1,5
2,1,9,0,17,0,0,0,0,7,4,1,1,6,1,76,11,1591,1,1,1,1,1,414441,97518,55,1,1,5,641,5,137,6,60,0,4,6,0,0,0,1,1,2,0,0,2,1,1,2,2,79,11,2,0,0,1,0,0,9,1,10
2,2,9,0,18,0,1,0,0,1,0,3,1,6,1,51,8,1598,1,8,1,1,2,274116,194880,62,2,1,7,745,6,0,6,30,6,4,6,0,0,0,4,1,2,0,0,1,1,3,2,2,47,8,2,0,0,1,0,0,9,1,5
3,2,11,0,13,0,0,0,0,0,0,4,1,1,3,38,7,1598,1,8,1,1,2,538700,177850,1,2,1,7,6,3,206,6,30,0,4,6,0,0,0,1,1,1,0,0,1,1,1,1,1,33,6,3,0,0,0,0,0,9,1,5
2,2,1,0,18,0,8,1,0,0,0,3,1,6,2,23,5,1598,1,8,2,1,2,340760,366733,7,2,1,5,130,3,5268,1,30,1,2,3,56,0,4,4,1,2,1,0,1,1,1,1,2,23,5,2,0,0,0,0,0,1,2,9
3,1,9,0,17,0,8,0,0,0,0,4,1,6,2,43,7,1339,1,4,1,1,2,521140,193190,1,2,1,5,30,3,5109,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,1,1,2,43,7,3,0,0,0,0,0,9,1,5
3,2,1,0,4,0,1,1,0,0,0,1,1,1,1,24,5,1598,1,8,3,1,2,256868,668784,97,2,1,5,926,3,81,6,30,3,3,6,0,0,0,1,1,2,0,0,1,1,1,1,1,24,5,3,0,0,0,0,0,1,3,5
3,1,9,0,5,0,6,0,0,0,0,1,1,6,1,75,10,1598,1,8,1,1,2,282732,182504,62,2,1,2,740,4,4281,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,3,2,2,73,10,3,0,0,1,0,0,9,1,5
3,1,9,0,11,0,1,0,0,0,0,0,1,6,3,38,7,1598,1,8,1,1,2,358450,424730,4,2,1,3,73,1,61,7,70,5,4,1,65,0,0,4,2,2,0,0,2,1,1,1,1,33,6,3,0,0,0,0,0,9,1,5
3,1,9,0,5,0,6,0,0,0,0,1,1,6,3,38,7,1598,1,8,1,1,2,478558,170242,43,2,1,4,475,3,329,6,40,8,4,6,0,0,0,1,1,1,0,0,1,2,1,1,1,33,6,3,0,0,0,0,0,9,1,5
3,3,9,0,10,0,1,0,0,0,0,2,1,6,1,43,7,1598,1,8,1,3,3,409893,311428,21,3,3,6,252,3,51,6,60,8,4,6,0,0,0,1,1,1,0,0,2,1,3,1,1,43,7,3,0,0,0,0,0,9,1,9
3,1,9,0,18,0,0,0,0,0,0,0,1,1,1,36,7,1582,2,2,1,1,2,345488,386656,5,2,1,5,90,6,0,6,60,0,4,6,0,0,0,1,1,1,0,0,2,1,1,1,1,33,6,3,0,0,0,0,0,9,1,5
